Горизонт,Дней,RMSE ($),MAE ($)
На месяц (30 дней),30,10.260906486689997,8.820131934981337
На год по неделям (52 недели),364,42.57693489053024,35.387504913894354
На год по месяцам (12 месяцев),365,42.829052334327486,35.5880238289192
