date,Ticker,Open,High,Low,Close,Volume
2008-01-02,CSX,3.564607978633182,3.6439295715893683,3.5095691297960205,3.5168535709381104,57575700.0
2008-01-03,CSX,3.521710833601254,3.521710833601254,3.376018487531596,3.399491548538208,54450000.0
2008-01-04,CSX,3.3768305356241743,3.3808769108220598,3.274035446104816,3.2966995239257812,60155100.0
2008-01-07,CSX,3.3225977257524035,3.358211639401495,3.2270881898504626,3.282128095626831,51135300.0
2008-01-08,CSX,3.3047906931954394,3.375208472790246,3.258654271737883,3.2643203735351562,68870700.0
2008-01-09,CSX,3.2740342896936325,3.363878445867444,3.264321811631479,3.361449718475342,76041000.0
2008-01-10,CSX,3.3379766158099367,3.561371898930094,3.3347392396172406,3.5176641941070557,75970800.0
2008-01-11,CSX,3.461006421370515,3.5022860997612795,3.3930166489040876,3.438343048095703,60615000.0
2008-01-14,CSX,3.4731470182561104,3.532233299908116,3.4431992054208154,3.5209014415740967,39945600.0
2008-01-15,CSX,3.470717883912959,3.5111885536691068,3.4472455206986257,3.468289852142334,62906400.0
2008-01-16,CSX,3.4456277909100965,3.581607681253659,3.4456277909100965,3.537899971008301,68397300.0
2008-01-17,CSX,3.5411374978980183,3.570275972631639,3.318551869123191,3.3476903438568115,63256500.0
2008-01-18,CSX,3.367115118995215,3.4407706384769607,3.2699872324524235,3.333120584487915,68477400.0
2008-01-22,CSX,3.294267994469751,3.601840878113718,3.2772707321131223,3.5119974613189697,112161600.0
2008-01-23,CSX,3.4367248626272415,3.6892579672846266,3.4237739660465216,3.6835925579071045,115243200.0
2008-01-24,CSX,3.695732023326631,3.8203800256991625,3.693304338780665,3.7904322147369385,58076100.0
2008-01-25,CSX,3.8389968312378553,3.864897923422791,3.6536438553692383,3.6787352561950684,75053700.0
2008-01-28,CSX,3.6908766737755827,3.8236184763811387,3.657690788926743,3.8219997882843018,51594300.0
2008-01-29,CSX,3.844662026320761,3.8851316483306166,3.8211893190386577,3.861659288406372,52406100.0
2008-01-30,CSX,3.8527559904907327,3.973356560377869,3.8155237419942365,3.8729913234710693,54725400.0
2008-01-31,CSX,3.8195706258774207,3.9903550528636966,3.7531999058218775,3.9223649501800537,85394700.0
2008-02-01,CSX,3.9328902096053318,4.053490879861353,3.873803891259134,4.041350364685059,55669500.0
2008-02-04,CSX,4.04134793734888,4.100434220206356,3.950694458259016,3.969310760498047,57504600.0
2008-02-05,CSX,3.874611566986702,3.9498857854109883,3.812287202682421,3.8317131996154785,65287800.0
2008-02-06,CSX,3.8357576795829647,3.911031847214512,3.8252351703650764,3.8495168685913086,38268900.0
2008-02-07,CSX,3.834949344085291,3.8972736940090713,3.7920516813281506,3.8422341346740723,38692800.0
2008-02-08,CSX,3.8155234725772904,3.9612157756010276,3.7969068286067653,3.8867509365081787,57018600.0
2008-02-11,CSX,3.8932260222658046,3.9774043910390864,3.7871946726010255,3.9571690559387207,41623200.0
2008-02-12,CSX,3.988735919940466,4.05915369927828,3.906985937049462,3.956359386444092,40888800.0
2008-02-13,CSX,3.979022515327821,4.08262581852126,3.937743549115012,4.039728164672852,49656600.0
2008-02-14,CSX,4.048632397119986,4.072105111020876,3.928031104104328,3.949885129928589,49865400.0
2008-02-15,CSX,3.942600879271475,3.9765961124039677,3.879467867334,3.9482669830322266,43184700.0
2008-02-19,CSX,4.001686621960252,4.007352724944362,3.9053680815997094,3.949885129928589,39443400.0
2008-02-20,CSX,3.923174847796483,4.1303814821481675,3.9005107863343,4.0947675704956055,65075400.0
2008-02-21,CSX,4.100433595577186,4.15790118161029,4.054297866383083,4.068057060241699,38594700.0
