Ticker
NVDA
AAPL
MSFT
GOOG
AMZN
META
AVGO
TSLA
BRK-B
WMT
JPM
ORCL
LLY
V
MA
XOM
NFLX
JNJ
PLTR
COST
AMD
ABBV
BAC
HD
PG
UNH
GE
CVX
KO
IBM
CSCO
WFC
MS
AXP
MU
PM
CAT
TMUS
CRM
GS
RTX
ABT
MRK
MCD
TMO
APP
PEP
DIS
UBER
ISRG
ANET
NOW
LRCX
INTU
BX
QCOM
AMAT
INTC
T
C
BLK
NEE
SCHW
BA
BKNG
VZ
APH
GEV
TJX
DHR
AMGN
KLAC
TXN
GILD
BSX
SPGI
ADBE
PANW
SYK
COF
PFE
HON
LOW
CRWD
UNP
PGR
DE
HOOD
CEG
WELL
PLD
ADI
IBKR
ADP
LMT
KKR
DASH
COP
MO
CMCSA
VRTX
DELL
SO
SCCO
HCA
CVS
NKE
MCK
DUK
SBUX
PH
CME
GD
CDNS
NEM
MMC
COIN
ICE
AMT
MMM
BMY
RBLX
MCO
SNOW
WM
NOC
SNPS
RCL
SHW
MSTR
ORLY
EQIX
CI
HWM
MDLZ
ECL
ABNB
CTAS
TDG
ELV
NET
BK
USB
GLW
EMR
UPS
MAR
PNC
MSI
MRVL
AJG
ITW
APO
VRT
WMB
RSG
VST
MNST
FI
CSX
SPG
EPD
PYPL
ADSK
PWR
CRWV
FTNT
GM
WDAY
ZTS
COR
AZO
CL
NSC
DLR
HLT
AEP
REGN
ALNY
SRE
TRV
GBTC
MPC
FCX
URI
EOG
CMI
AXON
KMI
ET
AFL
FDX
CPNG
APD
TFC
CMG
F
LHX
O
DDOG
