date,Ticker,Open,High,Low,Close,Volume
2008-01-02,GS,159.5642171442589,159.7499296848516,153.47284807981666,154.2156982421875,9573500.0
2008-01-03,GS,155.1962349123656,155.28537329336592,151.64541249261484,152.1654052734375,7751700.0
2008-01-04,GS,149.31279900526704,151.54134824415164,147.29967120541343,148.5179443359375,10157900.0
2008-01-07,GS,148.74087270328067,148.75573287911408,141.1340949155682,144.6551971435547,16044400.0
2008-01-08,GS,145.4574309044019,148.1985487321436,140.39862511466237,140.77005004882812,13553700.0
2008-01-09,GS,140.4283691697294,142.77577805991444,136.46155260320913,142.44149780273438,15901200.0
2008-01-10,GS,140.6586089263194,148.12424007033252,138.94261643082723,146.27455139160156,14830500.0
2008-01-11,GS,146.31173068544862,149.07512206268348,144.53631976385665,147.63400268554688,12400600.0
2008-01-14,GS,148.6962700847756,150.21911471807334,147.84942161252567,149.79568481445312,9400200.0
2008-01-15,GS,148.23568099815225,148.23568099815225,142.89458908143706,143.58543395996094,11292700.0
2008-01-16,GS,143.6003171097723,149.8922568778873,142.9243209579936,146.71286010742188,13026600.0
2008-01-17,GS,147.29965995921646,148.19851307100114,140.88887484594107,141.8694305419922,12283800.0
2008-01-18,GS,142.75346848309314,143.6597462968436,137.13010045464813,139.06893920898438,14975700.0
2008-01-22,GS,132.35348304173337,143.24365852596333,130.31064708671676,141.65396118164062,19029400.0
2008-01-23,GS,138.1997719170017,148.5476755336115,137.12264197312336,148.1168212890625,17635700.0
2008-01-24,GS,148.64424910940767,149.31280939359257,144.261428500344,147.97567749023438,11987200.0
2008-01-25,GS,149.9551647109348,150.3198059517651,141.3229450435014,142.40940856933594,14019500.0
2008-01-28,GS,141.85128364995788,146.19717160893285,141.85128364995788,146.0408935546875,10216000.0
2008-01-29,GS,146.62876787887532,147.61106108906753,144.41863086582427,145.89205932617188,7164500.0
2008-01-30,GS,145.31157623793314,153.2740558214368,143.91999458499635,147.75241088867188,17597900.0
2008-01-31,GS,146.18972004964152,151.22023137833312,145.11069408257976,148.49661254882812,14803500.0
2008-02-01,GS,148.19895034332546,155.3651901584054,147.34317382520615,154.62103271484375,12207400.0
2008-02-04,GS,154.66566652734414,154.78473443286282,148.2361472435613,149.4268035888672,9071300.0
2008-02-05,GS,144.8576472362284,146.82965932814952,141.09965100253262,141.2856903076172,13276400.0
2008-02-06,GS,142.49125204006907,143.510755372723,138.59931211940156,139.283935546875,9955500.0
2008-02-07,GS,138.24213836827636,144.19539821384421,137.90726977295157,141.73223876953125,10839200.0
2008-02-08,GS,140.64576747456326,141.86618532014484,138.19004545401893,139.2095489501953,7869300.0
2008-02-11,GS,139.80487392339634,141.38993312304166,138.04122418065384,138.31655883789062,8875800.0
2008-02-12,GS,138.54722709932497,138.59932357063616,132.83210339521372,134.43203735351562,18397200.0
2008-02-13,GS,134.16410262292413,135.23569085588542,131.34375170431315,134.08224487304688,13933900.0
2008-02-14,GS,132.83204861690862,134.76686171016604,131.34373434669118,131.3883819580078,10996700.0
2008-02-15,GS,130.30191741130602,133.0478476703485,129.01451740671715,132.76507568359375,12449300.0
2008-02-19,GS,134.1790250131293,134.96783007582243,128.50110016213202,129.33456420898438,10366600.0
2008-02-20,GS,127.9727510191022,133.0925576460058,127.86113194930557,131.9019012451172,10793700.0
2008-02-21,GS,132.83206407593906,133.35297186015123,130.01915068625541,130.35401916503906,8204800.0
2008-02-22,GS,130.63681913195347,132.46000228568425,127.54112197132729,132.24420166015625,9631400.0
2008-02-25,GS,130.488027360474,132.4600402719843,128.04719157172275,131.98377990722656,12849200.0
2008-02-26,GS,130.58476354800854,132.4600437512872,127.89835434132684,128.51600646972656,11517900.0
2008-02-27,GS,127.87601483558689,134.90086305469188,127.63044151189604,134.54367065429688,15903400.0
2008-02-28,GS,134.15673082645804,134.15673082645804,130.65175489949792,131.49264526367188,8828200.0
2008-02-29,GS,129.77359184631646,130.6293682043097,125.7625844302246,126.23140716552734,11113300.0
2008-03-03,GS,125.97839322706668,125.97839322706668,122.27249279045523,122.84549713134766,11920800.0
2008-03-04,GS,121.75156285061077,123.85752913944164,119.21398401289115,121.74412536621094,17887900.0
2008-03-05,GS,121.97484394803853,125.2491320140821,121.05208467072687,122.7636489868164,13270000.0
2008-03-06,GS,121.26046460228977,121.73672495692239,117.67363129035667,118.06058502197266,15129200.0
2008-03-07,GS,116.83272537765191,121.53580614258948,116.83272537765191,119.11729431152344,15228600.0
2008-03-10,GS,119.05774543541864,122.62225435295932,115.51554897633982,115.77600860595703,13725600.0
2008-03-11,GS,120.4790422979297,122.66686621298601,117.20475526426796,121.34971618652344,20415300.0
2008-03-12,GS,122.06411254245118,126.55137984175349,121.0074106123522,121.30506896972656,14444900.0
2008-03-13,GS,119.39258668734679,124.49750569185608,116.65408220185373,123.11337280273438,18617600.0
2008-03-14,GS,124.27426214085887,124.86959021850939,115.34437504091692,116.72850799560547,27102300.0
2008-03-17,GS,105.69270913107299,114.689572310112,104.38299576712123,112.3826904296875,38648800.0
2008-03-18,GS,122.75616699395695,130.8823616123042,118.88654077622668,130.6665496826172,43276100.0
2008-03-19,GS,132.41535128465733,132.80231625859628,123.08361241871448,123.8947525024414,24176100.0
2008-03-20,GS,123.75342652392595,134.21628186285506,123.68645505679314,133.6730499267578,20801800.0
2008-03-24,GS,133.20414814195587,137.3118993534258,131.08329543123983,133.11485290527344,15643700.0
2008-03-25,GS,132.09542789742014,135.92039798236902,131.82009318479945,133.6730499267578,11666800.0
2008-03-26,GS,132.82468404667082,133.24141045430136,129.72898594006824,130.5847625732422,11610600.0
2008-03-27,GS,131.42560941455707,131.89443210507082,124.5570413312473,125.12259674072266,15195800.0
2008-03-28,GS,126.18674049348577,126.87880123165199,121.58784314251581,122.37664794921875,11978700.0
2008-03-31,GS,122.16832937901883,125.38309507062718,121.18604743209968,123.07620239257812,8977400.0
2008-04-01,GS,127.61555744664919,131.70842317336087,126.66303687682792,131.61167907714844,14694100.0
2008-04-02,GS,131.7159000089032,135.15390461284156,131.04616268642886,131.61915588378906,12058300.0
2008-04-03,GS,130.07125106157375,133.31577738345126,128.64991923094496,131.3660888671875,10755800.0
2008-04-04,GS,131.38096465172077,133.44972089664452,129.48336139477516,130.52517700195312,8496700.0
2008-04-07,GS,132.87677521407383,135.25063970295517,131.6637947292357,133.00328063964844,10276200.0
2008-04-08,GS,131.93910053537533,135.06455913697854,131.53724920727575,133.12974548339844,8629400.0
2008-04-09,GS,132.6460732013551,133.12977103009845,128.85086544295797,129.58758544921875,11425400.0
2008-04-10,GS,129.40898994365497,129.40898994365497,125.66587847561148,126.91606903076172,14744400.0
2008-04-11,GS,125.01848958421215,127.8983761571232,124.17758777664069,124.4975814819336,11355300.0
2008-04-14,GS,123.86496921870261,124.68354671735355,121.55808860830696,121.73667907714844,9857900.0
2008-04-15,GS,122.83060379266405,123.49290334447892,120.31534845085639,122.19062805175781,9134700.0
