date,Ticker,Open,High,Low,Close,Volume
2008-01-02,MMC,17.807751060600385,18.392383451829886,17.653193528819383,18.130306243896484,5756500.0
2008-01-03,MMC,18.1571859082159,18.61413971093771,18.042947457535448,18.184064865112305,5565900.0
2008-01-04,MMC,18.04966525508725,18.352060211305393,17.935426818723904,18.14374351501465,4671900.0
2008-01-07,MMC,18.284870624906713,18.284870624906713,17.921996228201564,18.069833755493164,4019800.0
2008-01-08,MMC,18.069824381803297,18.278142362488822,17.59943179440671,17.693510055541992,3814100.0
2008-01-09,MMC,17.740553286458823,17.854791750692662,17.256720469438115,17.80775260925293,4999200.0
2008-01-10,MMC,17.76743201431473,18.123586215851045,17.485195908004997,17.874950408935547,5337700.0
2008-01-11,MMC,17.74728297792799,18.143757787677906,17.505365797274845,17.733842849731445,4540800.0
2008-01-14,MMC,17.90854482045671,17.90854482045671,17.58598971955679,17.767427444458008,2572600.0
2008-01-15,MMC,17.57255405571983,17.639753372530688,17.236558753385914,17.384397506713867,4759100.0
2008-01-16,MMC,17.37096557591558,18.12359469017969,17.37096557591558,17.774160385131836,3866200.0
2008-01-17,MMC,17.861509539625192,19.864041157552727,17.619592521020145,18.3319034576416,10058400.0
2008-01-18,MMC,18.452874257579197,18.748550688712946,17.88168287065159,18.257997512817383,5519100.0
2008-01-22,MMC,17.397832422014773,18.4259782767601,17.397832422014773,18.016063690185547,6182400.0
2008-01-23,MMC,17.52552021033226,18.802302488383894,16.18825865706106,18.76870346069336,5257300.0
2008-01-24,MMC,18.74839071970693,18.94467283392753,18.193383138303137,18.491191864013672,4552300.0
2008-01-25,MMC,18.437056659948485,18.937916345084027,17.936196974812944,18.355836868286133,6108000.0
2008-01-28,MMC,18.34229072968138,18.74162483215332,18.17984993577215,18.74162483215332,3316800.0
2008-01-29,MMC,18.829607299308584,18.924364077099398,18.470884474263773,18.51826286315918,3334500.0
2008-01-30,MMC,18.61302953582351,19.432002215736563,18.1730854595334,18.389673233032227,11895800.0
2008-01-31,MMC,18.152782386019144,18.86346256858489,17.956500173210415,18.646873474121094,7734200.0
2008-02-01,MMC,18.65364076355836,18.958218148821842,18.443821504246323,18.9176082611084,4501200.0
2008-02-04,MMC,18.9243753585121,18.9243753585121,18.57242084935043,18.60626220703125,3392700.0
2008-02-05,MMC,18.31521620204999,18.57241508811427,18.27460632723734,18.362594604492188,3607800.0
2008-02-06,MMC,17.787287151603266,18.55888136646314,17.787287151603266,18.173084259033203,2578100.0
2008-02-07,MMC,18.01063807997752,18.369360965276236,17.821123201599214,18.06478500366211,3705300.0
2008-02-08,MMC,17.936185298304824,18.00386927460453,17.665450684070475,17.75343894958496,3651800.0
2008-02-11,MMC,17.638375963100696,17.780512437478173,17.083369700501205,17.123979568481445,5679400.0
2008-02-12,MMC,16.893858617419493,17.936188693216657,16.887091380376663,17.591001510620117,7086900.0
2008-02-13,MMC,17.69252793014446,17.69252793014446,17.387951896977967,17.516550064086914,3347400.0
2008-02-14,MMC,17.489481904990193,17.651922757520627,17.259357041164126,17.34734535217285,3531600.0
2008-02-15,MMC,17.279659871422623,17.611310053728566,17.2255129292291,17.509784698486328,3448900.0
2008-02-19,MMC,17.67900650207324,17.766994860978834,17.157841009652724,17.299976348876953,2826400.0
2008-02-20,MMC,17.17813112839762,17.462402862955727,17.123984192813445,17.42179298400879,2912100.0
2008-02-21,MMC,17.421793587868166,17.611308514463968,17.381183707513642,17.40825653076172,3272200.0
