date,Ticker,Volume,z
2014-10-15,ABBV,122740200.0,6.450858201958758
2019-06-25,ABBV,90131800.0,5.7728864834723606
2020-12-10,ABNB,70447500.0,5.534250399092872
2023-09-15,ABNB,74788500.0,5.660588280234799
2010-09-22,ADBE,108752400.0,5.911427328269177
2010-10-07,ADBE,66892700.0,5.078927169609548
2017-07-27,ADP,29837600.0,5.457109868561468
2008-09-19,ADSK,69100.0,-5.947165093515952
2009-04-02,AEP,55709200.0,7.677679669268652
2012-02-23,AEP,21267100.0,5.189069861183122
2020-07-27,AEP,22455700.0,5.3296106862278085
2025-03-25,AEP,24651800.0,5.570737048000372
2009-01-22,AFL,92666800.0,5.152771532683788
2014-04-11,AJG,16607100.0,6.052486494086797
2016-05-27,AJG,37176900.0,7.644969284653277
2024-12-10,AJG,13426500.0,5.632360293563553
2017-09-20,ALNY,18362400.0,5.01409462763159
2023-09-13,ALNY,6600.0,-6.288516636054011
2008-09-19,AMAT,415200.0,-5.844843782959013
2015-04-27,AMAT,219415200.0,5.328752456265346
2008-07-28,AMGN,62533100.0,5.004077496231054
2008-09-19,AMGN,201900.0,-5.040372885934693
2011-03-21,AMT,21980500.0,5.014833937903598
2013-07-17,AMT,26259800.0,5.4085496654708285
2018-02-16,ANET,141675200.0,5.103269185564063
2018-08-27,ANET,178592000.0,5.543136709550835
2019-11-01,ANET,167657600.0,5.4231244032403545
2016-03-08,APD,15012928.0,5.19629700137211
2008-09-29,APH,191874400.0,6.4862920640855615
2009-11-13,AVGO,621000.0,-5.433322964709846
2009-11-27,AVGO,616000.0,-5.445797801145019
2009-12-11,AVGO,774000.0,-5.093463042287277
2009-12-24,AVGO,308000.0,-6.515413221798825
2014-05-07,AVGO,560280000.0,5.067454230846424
2008-09-19,BK,326300.0,-5.600744120815769
2010-11-09,BLK,16343600.0,7.1274095588270265
2011-04-01,BLK,18680000.0,7.416855953180029
2012-05-23,BLK,22888000.0,7.856947496671109
2020-05-13,BLK,9666100.0,5.989676272878705
2020-05-14,BLK,11804100.0,6.422538400285819
2009-12-18,BMY,123619400.0,5.0843328408320705
2019-11-20,BMY,185413200.0,5.904624215813263
2024-03-15,BMY,123585300.0,5.083774583842716
2010-02-12,BRK-B,316134200.0,8.636192748305945
2010-06-25,BRK-B,109267000.0,6.591125051526249
2021-03-16,BRK-B,67200.0,-7.642093173012622
2021-03-17,BRK-B,67700.0,-7.627823272108435
2010-03-15,BSX,243874000.0,5.696994137270404
2019-07-01,BX,56688100.0,5.398364218414819
2023-09-15,BX,117475900.0,6.833341442843541
2008-01-31,CDNS,53507400.0,5.711232435923858
2017-09-15,CDNS,57218100.0,5.831730447043701
2022-01-24,CEG,110000.0,-5.173665669733752
2022-01-25,CEG,23500.0,-7.798965502428656
2022-01-26,CEG,90500.0,-5.505562504796984
2022-01-28,CEG,43600.0,-6.747714896024729
2022-01-31,CEG,71300.0,-5.911147298405917
2008-10-31,CI,51904300.0,6.012617835899551
2008-09-19,CMCSA,775400.0,-7.115198860623002
2008-02-06,CME,43380500.0,5.267820482947073
2009-05-11,COF,114574400.0,5.632753426522443
2008-07-23,COST,40327700.0,5.635521909377406
2008-09-19,COST,103300.0,-6.251574699251634
2025-09-19,CPNG,111561900.0,5.036843413647887
2008-09-12,CRM,87332400.0,5.019338270794117
2024-06-21,CRWD,52256000.0,5.092484917022069
2008-09-19,CSCO,922900.0,-6.094516614280997
2010-11-11,CSCO,553080300.0,5.340032595919533
2011-02-10,CSCO,560040200.0,5.362390180628896
2009-11-05,CVS,185123500.0,6.625530705221104
2025-03-21,DASH,73637400.0,5.680414788691621
2025-07-08,DDOG,86386000.0,6.0641867175448745
2016-08-26,DELL,223415.0,-5.1880292557849295
2016-09-07,DELL,147907159.0,5.758626890142349
2018-01-26,DELL,127220424.0,5.5047109831940215
2019-12-11,DHR,59998771.0,5.373038354089062
2019-12-12,DHR,83263658.0,6.006553722364904
2019-12-13,DHR,72307733.0,5.733803376329844
2019-12-16,DHR,103834430.0,6.4333954907004
2016-05-17,DLR,33780200.0,6.512146153692886
2020-03-11,DLR,34673400.0,6.564957856115676
2008-11-13,ECL,26943400.0,6.298255197537993
2011-07-20,ECL,23185200.0,5.9933365127441105
2011-11-30,ECL,15668200.0,5.197913353014576
2020-05-29,ECL,21059600.0,5.7981598807295684
2020-06-01,ECL,24301200.0,6.088758615813107
2020-06-02,ECL,38401500.0,7.017516164896361
2020-06-03,ECL,27343300.0,6.328159927002729
2008-03-11,ELV,54425800.0,5.19418948881016
2010-10-06,EQIX,30574200.0,7.294423670817448
2010-10-07,EQIX,11092800.0,5.417012645923209
2015-03-20,EQIX,13251000.0,5.746209955233849
2022-09-16,FDX,34201900.0,5.640121251171559
2009-11-18,FTNT,136704000.0,5.18655300402914
2013-04-11,FTNT,125318000.0,5.034604677479575
2014-01-28,FTNT,126557500.0,5.0518016908842025
2018-10-10,FTNT,166853000.0,5.53477461461056
2010-11-18,GM,457044300.0,7.746938977576562
2014-03-27,GOOG,262719.0,-6.142993408922738
2014-03-31,GOOG,216593.0,-6.37256506549723
2014-04-01,GOOG,158434.0,-6.744371988443034
2011-03-10,HCA,64599900.0,5.955447918979045
2015-01-26,HCA,81150000.0,6.344304778242165
2018-04-11,HLT,52096400.0,5.761771651284672
2019-01-22,HWM,55218793.0,5.446353411414744
2025-08-27,IBKR,98998600.0,5.96453596983778
2012-12-20,ICE,68379000.0,5.2168887343407215
2012-06-13,JNJ,98440200.0,5.668729149603055
2023-08-15,JNJ,88958100.0,5.436360056345336
2023-08-16,JNJ,85832700.0,5.354305676834422
2023-08-21,JNJ,151319500.0,6.65512349639552
2023-08-23,JNJ,119011400.0,6.104106735217934
2010-08-20,KKR,115800.0,-5.052078375484617
2024-06-21,KKR,145539500.0,6.6945872145549
2009-09-18,KO,124169000.0,5.361852734373068
2008-09-19,LHX,19579805.0,6.150325953145742
2019-03-06,LLY,74822500.0,5.37649077061507
2019-03-11,LLY,61771200.0,5.015220478696483
2019-03-13,LLY,68139300.0,5.200145678022045
2012-06-04,LRCX,298766000.0,5.189443385812568
2016-10-28,MCK,28158100.0,5.262770233314216
2020-03-09,MCK,25015700.0,5.056772789313657
2008-07-31,MDLZ,70927000.0,5.040573274626215
2008-08-01,MDLZ,101679900.0,5.875032613481654
2010-02-12,MDLZ,74196600.0,5.1449845767618605
2012-05-18,META,573576400.0,5.288061782618913
2022-08-25,MMM,56637298.0,5.848821438005903
2022-08-26,MMM,45907384.0,5.4101467428135654
2022-08-29,MMM,60436750.0,5.984427711133125
2022-08-30,MMM,41236286.0,5.1860340240954494
2022-08-31,MMM,37843952.0,5.006740684047254
2022-09-07,MMM,44932165.0,5.365302077843387
2008-05-08,MNST,250286400.0,5.223027392375051
2012-06-28,MNST,228187200.0,5.087441774900838
2008-09-17,MS,329786100.0,5.494271542306469
2008-09-18,MS,321561400.0,5.452673920842543
2019-04-17,NEM,82542900.0,5.692648771955456
2023-11-07,NEM,98183700.0,6.100494315495658
2024-06-28,NKE,129967000.0,5.533163896464173
2025-06-27,NKE,117530300.0,5.328353111552744
2012-07-13,NOW,89100.0,-5.065022302540587
2012-07-30,NOW,84300.0,-5.167263261517968
2019-11-20,NOW,37802900.0,6.105528458240853
2008-09-19,O,40970.0,-5.461279035064051
2009-03-26,ORLY,417903000.0,5.584506964093314
2012-11-23,PANW,389400.0,-5.127071213288221
2017-03-01,PANW,130718400.0,5.186658588106068
2008-11-05,PG,71833400.0,5.008229867085372
2016-09-28,PG,89806000.0,5.531194251302708
2016-09-29,PG,74587500.0,5.096342238268714
