date,Ticker,reason,Open,High,Low,Close,Volume
2008-03-19,AAPL,Close < Low,3.9962778272654176,4.031400963610508,3.89270806312561,3.8927080631256095,1010536800.0
2014-03-06,ABT,Close < Low,31.847253323465036,32.094565265315296,31.69567680358887,31.695676803588867,6442000.0
2009-12-31,AEP,Close < Low,19.244984895791173,19.261309450093925,18.929405212402347,18.929405212402344,1486200.0
2010-01-22,AEP,Close < Low,19.6802686743925,19.691151018941188,19.272190093994144,19.27219009399414,4206300.0
2009-09-23,AFL,Close < Low,14.48686198116202,14.690185842764365,14.20559597015381,14.205595970153809,6567800.0
2010-01-26,AJG,Close < Low,15.357355414715846,15.45821344617169,15.236325263977053,15.23632526397705,317000.0
2010-01-29,AJG,Close < Low,15.236319503576048,15.451483564662546,15.162356376647953,15.16235637664795,470000.0
2012-07-31,AMGN,Close < Low,58.21981184670363,58.43692292949556,57.84862899780274,57.848628997802734,4537800.0
2008-09-09,APD,Close < Low,52.454790686015,52.51457469549411,50.54766845703126,50.54766845703125,2918592.0
2008-10-09,BK,Close < Low,17.29050635563202,19.243204773628538,15.66213130950928,15.662131309509276,17467300.0
2011-10-31,BK,Close < Low,15.818499022439042,15.86163999940979,15.30080318450928,15.300803184509276,11193500.0
2009-05-22,BMY,Close < Low,11.364469512783351,11.464646200972334,11.141855239868166,11.141855239868164,8892200.0
2009-12-29,BMY,Close < Low,14.89605820770473,14.959080342115495,14.810119628906252,14.81011962890625,24745600.0
2012-04-24,BX,Close < Low,6.82036734360359,6.881082806159217,6.764711380004884,6.764711380004883,2541692.0
2012-05-02,BX,Close < Low,6.886144045707025,6.931680531211157,6.703997611999513,6.703997611999512,5127506.0
2010-05-26,C,Close < Low,29.63315569582916,30.081010805632783,28.81208419799805,28.812084197998047,124767260.0
2013-06-19,CAT,Close < Low,61.240170600506254,61.812712503955375,61.05898666381837,61.05898666381836,4711700.0
2016-06-13,CAT,Close < Low,60.57635276419224,61.08849054964973,60.20025634765626,60.20025634765625,4086700.0
2019-07-17,CAT,Close < Low,120.11544058490284,120.38487252522827,117.96865844726564,117.96865844726562,3750200.0
2015-03-24,CL,Close < Low,54.40776562096461,54.92867304585457,53.886852264404304,53.8868522644043,2849300.0
2016-10-18,CL,Close < Low,58.41002354716368,58.41002354716368,57.83911132812501,57.839111328125,2729900.0
2008-10-07,CMCSA,Close < Low,6.304403600602268,6.616502651227012,5.947223186492921,5.94722318649292,73504600.0
2010-12-15,CMCSA,Close < Low,7.932532597037352,7.961378142608206,7.791910648345948,7.791910648345947,45802000.0
2011-08-08,CMCSA,Close < Low,7.848696694451195,7.969277204952044,7.465031623840333,7.465031623840332,85553600.0
2011-11-23,CMCSA,Close < Low,7.795803769883148,7.847237449159066,7.740696907043458,7.740696907043457,33662600.0
2013-02-28,CMCSA,Close < Low,15.08531069664559,15.202018135330343,14.97989845275879,14.979898452758787,24696600.0
2009-04-14,CME,Close < Low,27.689494069205743,27.855438226078125,26.160055160522464,26.16005516052246,6642500.0
2009-04-22,CME,Close < Low,23.941467883144668,24.388567321037737,23.101177215576172,23.10117721557617,7608000.0
2008-10-09,COP,Close < Low,26.492209677146345,26.617884264285927,22.55021476745606,22.55021476745605,28651745.0
2011-08-04,COR,Close < Low,26.26402839060755,26.40369405481228,25.32128715515137,25.321287155151367,4367900.0
2016-09-29,COR,Close < Low,62.40329789521101,62.6742244005934,61.146503448486335,61.14650344848633,1625300.0
2011-12-14,COST,Close < Low,60.89794596765835,61.152991896144925,60.300407409667976,60.30040740966797,1891000.0
2008-09-15,CVX,Close < Low,41.3036073429235,42.64714471669649,40.75906372070313,40.759063720703125,17357200.0
2011-03-07,CVX,Close < Low,57.99433303423959,58.35637646017655,57.37606811523438,57.376068115234375,8222500.0
2011-03-28,CVX,Close < Low,59.26429272964574,59.65418768693475,59.063774108886726,59.06377410888672,6023500.0
2011-10-31,CVX,Close < Low,60.94786559033133,61.10628861087213,59.43718338012696,59.43718338012695,11457800.0
2011-11-25,CVX,Close < Low,53.62268918580526,53.862202442896994,52.6304168701172,52.63041687011719,5257300.0
2010-11-29,DE,Close < Low,56.9561618218011,57.27079399409338,56.31940460205079,56.31940460205078,5992300.0
2011-08-02,DE,Close < Low,59.47275160086838,60.64156338240081,58.303939819335945,58.30393981933594,6441600.0
2013-09-20,DHR,Close < Low,28.593396888250517,28.75604471690636,28.288433074951172,28.28843307495117,7624246.0
2008-06-02,DLR,Close < Low,21.04462738083806,21.08480705587717,20.62273025512696,20.622730255126957,747300.0
2009-12-21,DUK,Close < Low,26.22214831235657,26.47849012039241,26.19199180603028,26.191991806030277,1418767.0
2008-10-15,EPD,Close < Low,4.021957358957081,4.021957358957081,3.6685986518859863,3.6685986518859854,3161600.0
2017-01-10,EPD,Close < Low,14.724061349341238,14.724061349341238,14.27207660675049,14.272076606750488,5274100.0
2019-10-08,ET,Close < Low,7.400798888023854,7.43005117001203,7.231136322021485,7.231136322021484,12726600.0
2021-06-25,ET,Close < Low,7.805671595797765,7.819915168832161,7.63474464416504,7.634744644165039,9933800.0
2008-10-03,F,Close < Low,2.325679652199676,2.325679652199676,2.1071596145629887,2.1071596145629883,43056400.0
2009-10-01,F,Close < Low,3.735655117458118,3.7720752436059866,3.626394987106324,3.6263949871063232,101530900.0
2010-10-13,F,Close < Low,7.231979985936635,7.237182968462751,7.096705913543702,7.096705913543701,59061900.0
2012-05-17,F,Close < Low,5.329830265012585,5.377043409138849,5.251142024993897,5.2511420249938965,49648900.0
2012-09-27,F,Close < Low,5.343004161921925,5.3693764446638,5.284985542297364,5.284985542297363,25740900.0
