model,RMSE,MAE,R2
XGB-Test,0.07421172017633156,0.05778953014460616,-0.0001598906289208557
XGB-Valid,0.0718972342534363,0.05512415022792617,-0.008513715408267952
CAT-Test,0.0741353338579317,0.057265208473298225,0.0018979841399221486
CAT-Valid,0.07083128039912019,0.05437559387741661,0.021169202488378613
