Company,assigned_cluster,best_distance_to_centroid,second_best_distance_to_centroid,distance_margin
ZTS,0,0.3304032753997035,2.538463087901448,2.2080598125017445
APO,1,0.005235631813150121,12.729751360498142,12.724515728684992
ARES,1,0.15430933316503115,10.186811965993797,10.032502632828766
FTNT,1,3.279159800012451,3.3245253720206733,0.04536557200822244
GM,1,1.5419273347154672,5.720333491347503,4.178406156632036
HCA,1,2.8146298312142903,3.8234454625172134,1.008815631302923
KKR,1,0.3492641941205079,8.953657646767056,8.604393452646548
META,1,0.851134129662853,7.3475212984604354,6.4963871687975825
PANW,1,1.7446571410194451,5.350573171756935,3.6059160307374896
TSLA,1,0.0111154027775342,12.462952644459676,12.451837241682142
UBER,1,1.048122239162069,6.552005586317932,5.503883347155863
ABNB,3,0.8883903521217462,20.472354736973386,19.58396438485164
ANET,3,1.5046419474400636,23.125616703976732,21.62097475653667
APP,3,41.870974474690115,101.06892580618415,59.19795133149404
AVGO,3,8.316170324675,41.812093182329875,33.495922857654875
CEG,3,14.883059677771485,55.357978564550024,40.47491888677854
COIN,3,2.912071925691521,27.969688982565742,25.05761705687422
CRWD,3,0.6246372508920786,7.801062268067938,7.176425017175859
CVNA,3,0.3418002101697084,17.35765249361549,17.01585228344578
DASH,3,1.6501090648688432,23.68534973715697,22.035240672288126
DELL,3,0.01339041917697159,13.644730229724985,13.631339810548013
GEV,3,50.944847294233,114.92051107515846,63.97566378092546
HOOD,3,48.81722279369012,111.7134072714046,62.896184477714485
HWM,3,5.742109288565075,35.74462860529576,30.002519316730684
NET,3,2.2628206434764024,25.87277983580981,23.609959192333406
PLTR,3,38.006233495763695,95.01267558974479,57.00644209398109
PYPL,3,0.1565381932176706,15.80157005866323,15.64503186544556
RBLX,3,13.946297192118323,53.5375477102146,39.591250518096274
RKT,3,21.334562090329086,67.26335681495522,45.92879472462613
SNOW,3,9.43485825239793,44.27746794452224,34.84260969212431
VRT,3,15.661486790619051,56.8504602674887,41.18897347686965
VST,3,12.878705856493866,51.42561442484413,38.54690856835026
ABBV,4,1.065614410571527,6.768360012073856,5.702745601502329
HLT,4,3.0939157576186176,3.5121426329508836,0.418226875332266
KMI,4,0.34899601422972637,9.290925891001564,8.941929876771837
MPLX,4,1.0853897900206562,6.716849242199999,5.631459452179342
NOW,4,1.5302139752430435,5.740039565463405,4.209825590220362
PM,4,0.017828811786841925,8.42059558591177,8.402766774124927
V,5,0.32081508092579725,2.5557352524094767,2.2349201714836795
WDAY,5,0.12623469732699277,5.024694085881549,4.898459388554556
