Ticker,first_date,last_date,actual_points,expected_points_to_etalon_end,missing_points,missing_ratio
HCA,2011-03-10,2025-12-19,3718,3719,1,0.00026888948642108095
KMI,2011-02-11,2025-12-19,3736,3737,1,0.0002675943270002676
GM,2010-11-18,2025-12-19,3794,3795,1,0.00026350461133069827
KKR,2010-07-15,2025-12-19,3883,3884,1,0.00025746652935118434
TSLA,2010-06-29,2025-12-19,3894,3895,1,0.00025673940949935817
BX,2008-01-02,2025-12-19,4521,4522,1,0.00022114108801415304
IBKR,2008-01-02,2025-12-19,4521,4522,1,0.00022114108801415304
ICE,2008-01-02,2025-12-19,4521,4522,1,0.00022114108801415304
TDG,2008-01-02,2025-12-19,4521,4522,1,0.00022114108801415304
AAPL,2008-01-02,2025-12-19,4522,4522,0,0.0
ABBV,2013-01-02,2025-12-19,3263,3263,0,0.0
ABNB,2020-12-10,2025-12-19,1263,1263,0,0.0
ABT,2008-01-02,2025-12-19,4522,4522,0,0.0
ADBE,2008-01-02,2025-12-19,4522,4522,0,0.0
ADI,2008-01-02,2025-12-19,4522,4522,0,0.0
ADP,2008-01-02,2025-12-19,4522,4522,0,0.0
ADSK,2008-01-02,2025-12-19,4522,4522,0,0.0
AEP,2008-01-02,2025-12-19,4522,4522,0,0.0
AFL,2008-01-02,2025-12-19,4522,4522,0,0.0
AJG,2008-01-02,2025-12-19,4522,4522,0,0.0
ALL,2008-01-02,2025-12-19,4522,4522,0,0.0
AMAT,2008-01-02,2025-12-19,4522,4522,0,0.0
AMD,2008-01-02,2025-12-19,4522,4522,0,0.0
AMGN,2008-01-02,2025-12-19,4522,4522,0,0.0
AMT,2008-01-02,2025-12-19,4522,4522,0,0.0
AMZN,2008-01-02,2025-12-19,4522,4522,0,0.0
ANET,2014-06-06,2025-12-19,2904,2904,0,0.0
APH,2008-01-02,2025-12-19,4522,4522,0,0.0
APO,2011-03-30,2025-12-19,3705,3705,0,0.0
APP,2021-04-15,2025-12-19,1178,1178,0,0.0
ARES,2014-05-02,2025-12-19,2928,2928,0,0.0
AVGO,2009-08-06,2025-12-19,4120,4120,0,0.0
AXP,2008-01-02,2025-12-19,4522,4522,0,0.0
AZO,2008-01-02,2025-12-19,4522,4522,0,0.0
BA,2008-01-02,2025-12-19,4522,4522,0,0.0
BAC,2008-01-02,2025-12-19,4522,4522,0,0.0
BDX,2008-01-02,2025-12-19,4522,4522,0,0.0
BK,2008-01-02,2025-12-19,4522,4522,0,0.0
BKNG,2008-01-02,2025-12-19,4522,4522,0,0.0
BLK,2008-01-02,2025-12-19,4522,4522,0,0.0
BMY,2008-01-02,2025-12-19,4522,4522,0,0.0
BRK-B,2008-01-02,2025-12-19,4522,4522,0,0.0
BSX,2008-01-02,2025-12-19,4522,4522,0,0.0
C,2008-01-02,2025-12-19,4522,4522,0,0.0
CAT,2008-01-02,2025-12-19,4522,4522,0,0.0
CDNS,2008-01-02,2025-12-19,4522,4522,0,0.0
CEG,2022-01-19,2025-12-19,985,985,0,0.0
CI,2008-01-02,2025-12-19,4522,4522,0,0.0
CL,2008-01-02,2025-12-19,4522,4522,0,0.0
