Ticker,Open,High,Low,Close,Volume,rows,Open_pct,High_pct,Low_pct,Close_pct,Volume_pct
AAPL,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ABBV,0,0,0,0,0,3224,0.0,0.0,0.0,0.0,0.0
ABNB,0,0,0,0,0,1224,0.0,0.0,0.0,0.0,0.0
ABT,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ADBE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ADI,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ADP,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ADSK,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AEP,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AFL,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AJG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ALNY,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AMAT,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AMD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AMGN,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AMT,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AMZN,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ANET,0,0,0,0,0,2865,0.0,0.0,0.0,0.0,0.0
APD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
APH,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
APO,0,0,0,0,0,3666,0.0,0.0,0.0,0.0,0.0
APP,0,0,0,0,0,1139,0.0,0.0,0.0,0.0,0.0
AVGO,0,0,0,0,0,4081,0.0,0.0,0.0,0.0,0.0
AXON,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AXP,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
AZO,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BA,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BAC,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BK,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BKNG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BLK,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BMY,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BRK-B,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BSX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
BX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
C,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CAT,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CDNS,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CEG,0,0,0,0,0,946,0.0,0.0,0.0,0.0,0.0
CI,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CL,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CMCSA,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CME,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CMG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CMI,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
COF,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
COIN,0,0,0,0,0,1140,0.0,0.0,0.0,0.0,0.0
COP,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
COR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
COST,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CPNG,0,0,0,0,0,1163,0.0,0.0,0.0,0.0,0.0
CRM,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CRWD,0,0,0,0,0,1603,0.0,0.0,0.0,0.0,0.0
CRWV,0,0,0,0,0,146,0.0,0.0,0.0,0.0,0.0
CSCO,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CSX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CTAS,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CVS,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
CVX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
DASH,0,0,0,0,0,1225,0.0,0.0,0.0,0.0,0.0
DDOG,0,0,0,0,0,1534,0.0,0.0,0.0,0.0,0.0
DE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
DELL,0,0,0,0,0,2311,0.0,0.0,0.0,0.0,0.0
DHR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
DIS,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
DLR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
DUK,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ECL,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ELV,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
EMR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
EOG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
EPD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
EQIX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ET,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
F,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
FCX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
FDX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
FI,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
FTNT,0,0,0,0,0,4008,0.0,0.0,0.0,0.0,0.0
GBTC,0,0,0,0,0,2632,0.0,0.0,0.0,0.0,0.0
GD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
GE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
GEV,0,0,0,0,0,397,0.0,0.0,0.0,0.0,0.0
GILD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
GLW,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
GM,0,0,0,0,0,3756,0.0,0.0,0.0,0.0,0.0
GOOG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
GS,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
HCA,0,0,0,0,0,3680,0.0,0.0,0.0,0.0,0.0
HD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
HLT,0,0,0,0,0,2985,0.0,0.0,0.0,0.0,0.0
HON,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
HOOD,0,0,0,0,0,1066,0.0,0.0,0.0,0.0,0.0
HWM,0,0,0,0,0,2258,0.0,0.0,0.0,0.0,0.0
IBKR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
IBM,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ICE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
INTC,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
INTU,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ISRG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ITW,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
JNJ,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
JPM,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
KKR,0,0,0,0,0,3845,0.0,0.0,0.0,0.0,0.0
KLAC,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
KMI,0,0,0,0,0,3698,0.0,0.0,0.0,0.0,0.0
KO,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
LHX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
LLY,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
LMT,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
LOW,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
LRCX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MA,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MAR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MCD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MCK,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MCO,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MDLZ,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
META,0,0,0,0,0,3379,0.0,0.0,0.0,0.0,0.0
MMC,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MMM,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MNST,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MO,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MPC,0,0,0,0,0,3606,0.0,0.0,0.0,0.0,0.0
MRK,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MRVL,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MS,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MSFT,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MSI,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MSTR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
MU,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NEE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NEM,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NET,0,0,0,0,0,1538,0.0,0.0,0.0,0.0,0.0
NFLX,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NKE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NOC,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NOW,0,0,0,0,0,3350,0.0,0.0,0.0,0.0,0.0
NSC,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
NVDA,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
O,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ORCL,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
ORLY,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PANW,0,0,0,0,0,3336,0.0,0.0,0.0,0.0,0.0
PEP,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PFE,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PG,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PGR,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PH,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PLD,0,0,0,0,0,4483,0.0,0.0,0.0,0.0,0.0
PLTR,0,0,0,0,0,1274,0.0,0.0,0.0,0.0,0.0
