date,Ticker,price_col,ret
2009-01-22,AFL,7.544536590576172,-0.36862450835279503
2009-03-18,AFL,7.020740985870361,0.30278611116395493
2012-07-16,ALNY,19.15999984741211,0.530351369558534
2014-01-13,ALNY,93.27999877929688,0.4088506278377608
2016-10-06,ALNY,36.209999084472656,-0.48492179925208057
2017-09-20,ALNY,113.83999633789062,0.5170575019853811
2022-08-03,ALNY,212.00999450683597,0.4933436126217281
2024-06-24,ALNY,222.8999938964844,0.34520216054143393
2016-04-22,AMD,3.990000009536743,0.5229008335186689
2022-05-12,APP,36.7400016784668,0.3467742211770648
2024-11-07,APP,246.52999877929688,0.4626519983128876
2008-11-24,AXON,3.680000066757202,0.3680297354936479
2009-01-21,BAC,5.182707786560059,0.309803467887664
2009-04-09,BAC,7.429765701293945,0.35269129289431445
2008-10-09,BX,3.524118423461914,-0.3141732230855232
2008-11-24,BX,2.6016182899475098,0.3827960161404249
2008-11-24,C,44.30689239501953,0.5782483878537723
2009-01-21,C,27.32880210876465,0.31071446573030226
2009-02-27,C,11.196404457092283,-0.3902440025129241
2009-03-10,C,10.82319164276123,0.3809521636645792
2009-03-16,C,17.391742706298828,0.3089884515273298
2008-01-31,CDNS,10.149999618530272,-0.3304749524609706
2008-07-24,CDNS,7.110000133514404,-0.3076923255500388
2024-11-06,COIN,254.30999755859372,0.311146570198648
2025-04-01,CRWV,52.56999969482422,0.4177453370780737
2024-03-01,DELL,121.03876495361328,0.31618416597759325
2016-07-05,DHR,68.10664367675781,0.6121838536794728
2020-03-09,EOG,28.758134841918945,-0.32007236004873907
2010-10-06,EQIX,52.58879089355469,-0.3306689244033362
2016-01-22,ET,4.187269687652588,0.3393607054516088
2016-02-08,ET,1.8271690607070925,-0.41977059303806696
2017-05-24,GBTC,4.119637966156006,0.4115644441263886
2021-08-04,HOOD,70.38999938964844,0.5040598405375005
2008-10-30,ICE,14.94058895111084,0.40799507275425584
2014-08-15,MNST,15.581666946411133,0.30481510364569786
2023-05-26,MRVL,64.93538665771484,0.32423702088130457
2008-10-13,MS,12.467531204223633,0.8698345588498215
2008-11-24,MS,9.33116340637207,0.33134348220002363
2011-10-25,NFLX,11.052857398986816,-0.3489565451270611
2013-01-24,NFLX,20.979999542236328,0.4222351004273728
2022-04-20,NFLX,226.19000244140625,-0.3511660252264417
2008-07-03,NVDA,0.286297470331192,-0.30726570120628816
2025-09-10,ORCL,327.7611999511719,0.35948818304601593
2008-11-12,PLD,7.65895938873291,-0.3007918785650381
2024-02-06,PLTR,21.8700008392334,0.30801445797701255
2009-01-20,PNC,13.988481521606444,-0.4139583991571989
2009-01-21,PNC,19.176937103271484,0.370909135037353
2021-11-09,RBLX,109.5199966430664,0.4223376187411221
2020-03-12,RCL,29.84875869750977,-0.317782275129461
2024-11-21,SNOW,171.35000610351562,0.3270601965869093
2025-09-10,SNPS,387.7799987792969,-0.3583731788271417
2011-08-02,TMUS,16.50690460205078,-0.36588395706279586
2012-07-26,TMUS,13.820108413696287,0.36783439911289273
2020-03-19,UBER,20.489999771118164,0.38259110614382474
2008-10-13,UNH,18.335208892822266,0.3475502107341084
2008-09-18,URI,19.410703659057617,0.30548286694677107
2022-02-23,VRT,12.335933685302734,-0.3673991538954806
2012-05-07,VRTX,58.119998931884766,0.553595273160775
2013-04-19,VRTX,85.5999984741211,0.6190656365324336
2014-06-24,VRTX,93.52999877929688,0.4041434908013166
2008-07-16,WFC,17.267581939697266,0.327644800939495
2009-01-28,WFC,13.716641426086426,0.3088319080022892
2009-04-09,WFC,12.931156158447266,0.31699143610275526
2016-01-14,WMB,10.531248092651367,0.34386513952921205
2016-02-08,WMB,6.425846099853516,-0.3481309231742191
